AL,Alabama,$7.25,27840,24965,553,649,712,22968,1997
AK,Alaska,$8.75,33600,30129.6,553,1056,639,26976,3153.6
AZ,Arizona,$8.05,30912,27795.7,553,882,639,24888,2907.7
AR,Arkansas,$7.50,28800,25270.81,553,592,712,22284,2986.81
CA,California,$9.00,34560,30543.46,553,1303,639,29940,603.46
CO,Colorado,$8.23,31603.2,27022.01,553,866,639,24696,2326.01
CT,Connecticut,$9.15,35136,31060.42,553,1208,587,28176,2884.42
DE,Delaware,$7.75,29760,26062.56,553,989,712,27048,-985.44
FL,Florida,$8.05,30912,27916.03,553,1041,712,27672,244.03
GA,Georgia,$7.25,27840,24959.84,553,782,712,24564,395.84
HI,Hawaii,$7.75,29760,26247.6,553,1600,639,33504,-7256.4
ID,Idaho,$7.25,27840,25386.24,553,682,639,22488,2898.24
IL,Illinois,$8.25,31680,27283.23,553,894,686,25596,1687.23
IN,Indiana,$7.25,27840,24541.68,553,700,686,23268,1273.68
IA,Iowa,$7.25,27840,24393.82,553,629,686,22416,1977.82
KS,Kansas,$7.25,27840,25242.06,553,676,686,22980,2262.06
KY,Kentucky,$7.25,27840,24093.56,553,620,712,22620,1473.56
LA,Louisiana,$7.25,27840,25017.92,553,761,712,24312,705.92
ME,Maine,$7.50,28800,26176.8,553,820,587,23520,2656.8
MD,Maryland,$8.00,30720,27035.22,553,1277,712,30504,-3468.78
MA,Massachusetts,$9.00,34560,29403.84,553,1207,587,28164,1239.84
MI,Michigan,$8.15,31296,27412.18,553,738,686,23724,3688.18
MN,Minnesota,$8.00,30720,27757.92,553,794,686,24396,3361.92
MS,Mississippi,$7.25,27840,25230.64,553,653,712,23016,2214.64
MO,Missouri,$7.65,29376,26651.14,553,688,686,23124,3527.14
MT,Montana,$8.05,30912,27721.4,553,639,639,21972,5749.4
NE,Nebraska,$8.00,30720,27182.31,553,657,686,22752,4430.31
NV,Nevada,$8.25,31680,28548.48,553,1029,639,26652,1896.48
NH,New Hampshire,$7.25,27840,24234.24,553,1028,587,26016,-1781.76
NJ,New Jersey,$8.38,32179.2,28510.19,553,1261,587,28812,-301.81
NM,New Mexico,$7.50,28800,26176.8,553,688,639,22560,3616.8
NY,New York,$8.75,33600,30057.6,553,1208,587,28176,1881.6
NC,North Carolina,$7.25,27840,25386.24,553,710,712,23700,1686.24
ND,North Dakota,$7.25,27840,25386.24,553,563,686,21624,3762.24
OH,Ohio,$8.10,31104,27517.24,553,689,686,23136,4381.24
OK,Oklahoma,$7.25,27840,25373.84,553,633,712,22776,2597.84
OR,Oregon,$9.25,35520,29450.07,553,771,639,23556,5894.07
PA,Pennsylvania,$7.25,27840,24531.55,553,831,587,23652,879.55
RI,Rhode Island,$9.00,34560,30920.16,553,980,587,25440,5480.16
SC,South Carolina,$7.25,27840,25386.24,553,690,712,23460,1926.24
SD,South Dakota,$8.50,32640,29339.04,553,605,686,22128,7211.04
TN,Tennessee,$7.25,27840,25386.24,553,687,712,23424,1962.24
TX,Texas,$7.25,27840,25386.24,553,795,712,24720,666.24
UT,Utah,$7.25,27840,24279.24,553,762,639,23448,831.24
VT,Vermont,$9.15,35136,31304.47,553,915,587,24660,6644.47
VA,Virginia,$7.25,27840,24907.04,553,1006,712,27252,-2344.96
WA,Washington,$9.47,36364.8,32406.401,553,906,639,25176,7230.401
WV,West Virginia,$8.00,30720,26780.52,553,595,712,22320,4460.52
WI,Wisconsin,$7.25,27840,25386.24,553,741,686,23760,1626.24
WY,Wyoming,$7.25,27840,25386.24,553,711,639,22836,2550.24
